Unnamed: 0,Unnamed: 0.1,title,rate,type,producer,publish_date
645,1272.0,辛巴达历险记2,4.0, 喜剧 , 中国大陆,2014
647,1274.0,花心大坏蛋,4.0, 剧情 , 韩国,2015
648,1275.0,暴虫!,4.0, 喜剧 , 美国,2015
649,1276.0,狼群,4.0, 惊悚 , 澳大利亚,2015
650,1277.0,盲眼杀机,4.0, 悬疑 , 美国,2017
652,1279.0,镭射小队2,4.0, 科幻, 美国,2017
658,1295.0,我想结婚的时候你在哪,3.9, 喜剧 , 中国大陆,2014
659,1296.0,对不起，我爱你,3.9, 爱情, 中国大陆 ,2014
663,1311.0,漂洋过海来爱你,3.9, 剧情, 中国大陆,2017
664,1312.0,我要复仇,3.9, 剧情 , 日本,2016
665,1313.0,杀出僵尸镇,3.9, 恐怖, 美国,2013
666,1314.0,奥拉星：进击圣殿,3.9, 动画 , 中国大陆,2015
668,1316.0,高空,3.9, 动作 , 美国,2017
671,1319.0,五年模拟 三年高考,3.9, 剧情 , 中国大陆,2017
673,1331.0,杀手离沫,3.9, 剧情 , 中国大陆,2017
682,1350.0,刽子手,4.0, 惊悚 , 美国,2017
683,1351.0,人口交易,3.9, 剧情 , 英国,2015
684,1352.0,惊天追逐,3.9, 喜剧 , 加拿大,2014
687,1355.0,怨灵,3.8, 惊悚 , 中国大陆 ,2014
689,1357.0,凄灵室,3.8, 剧情 , 中国大陆,2016
690,1358.0,陆战特攻,3.8, 动作 , 美国,2013
695,1373.0,大明锦衣卫,3.8, 爱情 , 中国大陆,2016
700,1378.0,颤栗汪洋3,3.8, 恐怖, 澳大利亚,2017
705,1393.0,亵渎,3.8, 惊悚, 美国,2015
708,1396.0,摇摇欲坠,3.8, 剧情 , 美国,2013
709,1397.0,大漠孤侠,3.8, 古装, 中国大陆,2017
714,1412.0,狼的召唤,3.8, 剧情 , 美国,2017
719,1417.0,坎卜斯：清算,3.8, 恐怖, 美国,2015
722,1430.0,小小飞虎队,3.7, 喜剧 , 中国大陆,2013
723,1431.0,猪猪侠之勇闯巨人岛,3.7, 喜剧 , 中国大陆,2014
724,1432.0,超萌英雄,3.7, 喜剧 , 中国大陆,2014
725,1433.0,花咒,3.7, 爱情 , 中国大陆,2014
726,1434.0,寄宿公寓,3.7, 剧情, 韩国,2015
729,1437.0,红髅,3.7, 悬疑 , 中国大陆,2015
730,1438.0,鬼庙,3.7, 恐怖, 美国 ,2017
731,1439.0,神兽金刚之青龙再现,3.7, 动画 , 中国大陆,2016
733,1451.0,生生活活,3.7, 剧情 , 韩国,2013
735,1453.0,笑嗷喜剧人,3.7, 剧情 , 中国大陆,2017
736,1454.0,去地狱的派对巴士,3.7, 恐怖, 美国,2017
738,1456.0,闯堂兔2疯狂马戏团,3.7, 喜剧 , 中国大陆,2015
742,1470.0,令伯特烦恼,3.7, 喜剧, 马来西亚,2017
746,1474.0,先锋之那时青春,3.7, 剧情 , 中国大陆,2016
747,1475.0,暮夜传说,3.7, 爱情 , 中国大陆,2016
748,1476.0,近郊奸情,3.7, 惊悚, 加拿大,2017
751,1479.0,哈瓦苏湖的风流之旅,3.7, 喜剧, 美国,2017
755,1493.0,光的棍,3.6, 喜剧 , 中国大陆,2013
759,1497.0,一家老小向前冲,3.6, 剧情 , 中国大陆,2016
760,1498.0,借眼,3.6, 悬疑 , 中国大陆,2017
766,1514.0,极北之战,3.6, 科幻, Canada,2013
